MID,doi,title,abstract,type_of_reference,id,first_authors,publication_year,volume,number,notes,alternate_title3,url,note,keywords,issn,author_address,language,start_page,end_page,alternate_title2,date,access_date,place_published,publisher,../Data/Data_0_Synergy.csv,../Data/Data_1_old_replication.csv,included_Data_0_Synergy.csv,included_Data_1_old_replication.csv
M14,10.1093/occmed/kqn062,Post-Traumatic Stress Diagnostic Scale (PDS),,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M114,,Epidemiological risk factors for trauma and PTSD.,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,
M171,10.1378/chest.12-3091,Surviving the ICU Does Not Mean That the War Is Over,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M404,,Longitudinal modeling of population heterogeneity: Methodological challenges to the analysis of empirically derived criminal trajectory profiles,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,
M459,10.1017/s0021963001007065,War Exposure and Maternal Reactions in the Psychological Adjustment of Children from Bosnia-Hercegovina,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M483,10.1016/j.jpsychores.2011.07.003,Heterogeneity in the response to rheumatoid arthritis (RA): The challenge of accounting for individual variability in the face of chronic disease,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M493,10.1001/jama.292.15.1811,"Physical Health Status of World Trade Center Rescue and Recovery Workers and Volunteers—New York City, July 2002–August 2004",,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M625,10.1037/10008-000,The major symptoms of hysteria.,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M655,10.4324/9780203112816,Social Work Practice for Promoting Health and Wellbeing,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M660,10.1007/s10566-013-9212-3,Introduction to a Special Issue on Research with Youth Exposed to Disasters and Violence,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M867,10.1016/s1836-9553(10)70029-1,Impact of Event Scale-Revised,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M879,10.1016/s2215-0366(15)00418-6,Post-traumatic stress symptoms 5 years after military deployment to Afghanistan,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M1034,10.4324/9780203818619,Population Mental Health,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M1035,10.1002/9781119998471.ch4,Pharmacotherapy of PTSD,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M1036,,Standardized Self-Report Measures of Civilian Trauma and PTSD.,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,
M1093,10.1007/bf02294359,Factor analysis and AIC,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M1162,10.1007/bf00977234,The prevalence of lifetime and partial post-traumatic stress disorder in Vietnam theater veterans,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M1189,,A psychological profile of Elian Gonzalez.,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,
